,id,price,link,first_price,title,area,rooms,address,vermietet,offerer_address,offerer_name,phone_number,commission,die Wohnung,wohnlage,Hausgeld,Baujahr,energieträger,effizienzklasse,bezug,lage,details,scraped_at,active
0,27tl55c,337620,https://www.immowelt.de/expose/27tl55c,337620,DACHGESCHOSS MIT ELBBLICK,"66,20",3,01139 Dresden,False,"Westendstraße 3,  01187 Dresden ", IMMOVISTA GmbH - Immobilienmakler Dresden ,0351 / 323 55 290,provisionsfrei,"Die WohnungWohnungslage2. Geschoss (Dachgeschoss)Bad mit Wanne und Dusche, Gäste-WC Terrasse Böden: Fliesenboden, Parkett Wohnanlage1 Stellplatz ",2. Geschoss (Dachgeschoss),,,,,,"LageDie idyllische, ruhige Lage wird Sie begeistern. Mit dem Pkw erreicht man in 10 Minuten den Elbepark mit vielen Geschäften, Gastronomie, Möbelhäusern und einem Kino. Eine Bushaltestelle befindet sich gleich in der Nähe. In 15 Minuten Fußweg erreicht man auch eine Straßenbahnhaltestelle. Zur Autobahn A4  fährt man nur wenige... Mehr anzeigen immowelt Lage-Check:infoTäglicher BedarfWenigangle_rightNahverkehrGutangle_rightAuf Karte ansehenmoving_truck Umzugskosten berechnen
","ObjektbeschreibungIn ruhiger idyllischer Lage des historischen Dorfkerns von Altkaditz, befindet sich unser neues Bauprojekt. Die Lage an der Elbe lässt Urlaubsgefühle aufkommen, dabei ist zu erwähnen, das das Grundstück durch seine erhöhte Lage nicht vom Hochwasser betroffen war. Hier entstehen moderne, familiengerechte Stadthäuser mit 4-bis... Mehr anzeigen Ausstattung- Gartenparzelle mit Sondernutzungsrecht- Holzfenster mit Isolierverglasung- Fußbodenheizung, Massivholzparkett- idyllische Lage - kein Hochwasser- abgeschlossene, sichere Hofanlage- Loggia- Heizung über Wärmepumpe- Pkw-Stellplatz zzgl. 5.000,00 €Preisinformation1 Stellplatz, Kaufpreis: 5.000,00 EURWeitere InformationenSonstigesBefeuerung/Energieträger: WärmepumpeHeizungsart: ZentralheizungDas Angebot ist freibleibend und unverbindlich. Alle Informationen und Daten wurden nach bestem Wissen gemacht und beruhen auf Angaben unserer Auftraggeber. Eine Zwischenvermarktung bleibt vorbehalten. Die Angebote und Mitteilungen sind... Mehr anzeigen ",True,
1,277b95r,329500,https://www.immowelt.de/expose/277b95r,329500,3 Zimmer Wohnung mit Südausrichtung,"74,03",3,Lili-Elbe-Straße 101307 Dresden,False,"Schützenplatz 3,  01067 Dresden ", HBH Immobilien GmbH ,0351 56348818,provisionsfrei,"Die WohnungWohnungslageErdgeschossDerzeitige NutzungfreiBad mit Fenster, Wanne und Dusche Balkon, Garten, Gartenanteil barrierefrei Böden: Parkett Zustand: Erstbezug Weitere Räume: Abstellraum WohnanlageBaujahr: 2023 Zustand: Neubau Personenaufzug 1 Stellplatz: Tiefgarage ",Erdgeschoss,,2023,,,,"LageDas Haus Johanngarten entsteht auf der neu ausgebauten Lili-Elbe-Straße in 01307 Dresden-Johannstadt. Diese befindet sich nur wenige Minuten zu Fuß vom Elbufer entfernt und bietet Ihnen in unmittelbarer Nähe eine Vielzahl von Bildungs- sowie Einkaufsmöglichkeiten.Begibt man sich auf eine Entdeckungstour durch eines... Mehr anzeigen immowelt Lage-Check:infoTäglicher BedarfOkayangle_rightNahverkehrSuperangle_rightAuf Karte ansehenmoving_truck Umzugskosten berechnen
","AusstattungDurch vier Ausstattungslinien - PUR, LIVING, HARMONIE, DESIGN - erreichen Sie als Käufer eine hohe Individualisierung Ihrer neuen Wohnung: im Design von geradlinig und klar bis weich, harmonisch und modern. Die Ausstattungsvarianten sind auf Nachhaltigkeit ausgelegt, modern und zeitgemäß.Weitere InformationenAUF EINEN BLICKinsgesamt 11 Wohneinheitenmoderne, individualisierbare 3- bis 4,5-Zimmer-Wohnungen 75 bis 108 m² Wohnfläche alle Wohnungen mit Loggia oder Terrasse von Innenarchitekten geplante Ausstattungsvarianten Tiefgaragenstellplätze jedes Stockwerk ohne Stufen erreichbar per Aufzug von der... Mehr anzeigen ",True,
2,264kl5y,356000,https://www.immowelt.de/expose/264kl5y,356000,"Hochwertiges Wohnen im Regierungsviertel, fußläufig zur Elbe, inkl. TÜV Überwachung! Provisionsfrei!","62,72",2,Weintraubenstraße 1301099 Dresden / Innere Vorstadt,False,"Wehlener Straße 31,  01279 Dresden ",basis d GmbH ,0175 2363639,provisionsfrei,"Die WohnungWohnungslage2. GeschossBezug2024Terrasse Weitere Räume: Kelleranteil, Abstellraum WohnanlageBaujahr: 2022 Zustand: projektiert Personenaufzug 1 Stellplatz: Tiefgarage ",2. Geschoss,,2022,FERN,A+,2024,"LageUnser Wohnhaus entsteht im Regierungsviertel. Das Mehrfamilienhaus liegt in der Weintraubenstraße. Das Restaurant ""Rosengarten"" an der Elbe erreichen sie fußläufig. Die Wege des täglichen Bedarfs sind ebenfalls in wenigen Minuten fußläufig zu erledigen. Biomarkt, Sparkasse und Hausarzt sind gleich um die Ecke. Kurze Wege zu... Mehr anzeigen immowelt Lage-Check:infoTäglicher BedarfGutangle_rightNahverkehrSuperangle_rightAuf Karte ansehenmoving_truck Umzugskosten berechnen
","ObjektbeschreibungBis Jahresende eine Wohnung kaufen und Grunderwerbssteuer sparen! Unser Projekt Weintraubenstrasse im Regierungsviertel von Dresden. Hier entstehen  insgesamt 30 Eigentumswohnungen und 1 Gewerbeeinheit im Erdgeschoss. Das Gebäude besticht durch seine gediegene Form im modernen Baustil mit klaren Linien und der... Mehr anzeigen Ausstattung+ großzügige sonnige Balkone+ Aufzug von der Tiefgarage in alle Ebenen+ Tiefgarage mit Kellerabteilen + liebevoll gestaltete Außenanlagen + Böden mit Fußbodenheizung und Designbelag in Holzoptik+ attraktive Bäder mit hochwertiger Sanitärkeramik, bodengleicher Dusche und Badheizkörper+ Badwahl aus drei... Mehr anzeigen Preisinformation1 Tiefgaragenstellplatz, Kaufpreis: 20.000,00 EURWeitere InformationenSonstigesDiese Anzeige dient nur der ersten Information und stellt kein Vertragsangebot dar. Die Anzeige begründet keine vertraglichen Ansprüche. Der Inhalt und die Angaben wurden nach bestem Wissen und Gewissen ermittelt. Für Richtigkeit und Vollständigkeit wird keine Haftung übernommen. Die Grundrisse sind nicht zur... Mehr anzeigen ",True,
3,26vg55t,209500,https://www.immowelt.de/expose/26vg55t,209500,"Klein aber Fein - 1,5 Zimmer mit Terrasse","36,50","1,5",Saalhausener Straße 5301159 Dresden,False,"Julius-Otto-Str. 1,  01219 Dresden "," Baywobau Baubetreuung GmbH, Niederlassung Dresden ",+49 351 87603-50,"Bitte beachte, das Angebot kann bei Vertragsabschluss die Zahlung einer Provision beinhalten, Weitere Informationen erhältst Du vom Anbieter,","Die WohnungWohnungslageErdgeschossBezugIV/2024Bad mit Dusche Garten, Terrasse barrierefrei Böden: Fliesenboden Zustand: Erstbezug Weitere Räume: Kelleranteil WohnanlageBaujahr: 2024 Zustand: Neubau Personenaufzug 1 Stellplatz: Tiefgarage ",Erdgeschoss,,2024,Pellets,,IV/2024,"LageWohnen mit allen Vorzügen des urbanen LebensNaußlitz ist ein Stadtteil im Dresdner Westen, nur 4 km entfernt von der City. Angrenzend befinden sich Plauen, Löbtau und Dölzschen mit ihren belebten Stadtteilzentren. Hier finden Sie alles was man zum Leben braucht - kleine Restaurants, den Bäcker an der Ecke, Frischwaren... Mehr anzeigen immowelt Lage-Check:infoTäglicher BedarfOkayangle_rightNahverkehrSuperangle_rightAuf Karte ansehenmoving_truck Umzugskosten berechnen
","ObjektbeschreibungAuf dem terrassenförmig angelegten Grundstück entstehen, eingebettet in viel Grün mit Wildrosen und Freizeitanlagen, 3 Wohngebäude.Auf einem terrassenförmig angelegten Grundstück entstehen, eingebettet in viel Grün mit Wildrosen und Freizeitanlagen, 3 Wohngebäude preisgekrönter Architekten. Die großzügig geschnittenen... Mehr anzeigen Ausstattung- alle Wohnungen mit Balkon/Terrasse/Grünflächen- Echtholzparkett und hochwertige Fliesen- Markensanitär- Fußbodenheizung- elektr. Rollläden im EG, Screens im OG + DG- Videosprechanlage- Aufzug in alle Etagen- teilweise barrierefrei nach SächsBO §50- großflächig, ökologisch angelegte... Mehr anzeigen Preisinformation1 Tiefgaragenstellplatz, Kaufpreis: 24.500,00 EURWeitere InformationenSonstigesGern beraten wie Sie in unserem Beratungspavillon auf dem Grundstück (Ecke Saalhausener/Altnaußlitz) mittwochs von 15-17 Uhr und samstags/sonntags von 10-13 Uhr; oder rufen Sie uns für einen individuellen Beratungstermin an, auch gern unter 0173-2013878.StichworteTiefgarage vorhanden, Anzahl der... Mehr anzeigen ",True,
4,22p2l5r,543740,https://www.immowelt.de/expose/22p2l5r,543740,Traumhafte Dachgeschosswohnung mit Aufzug und großem Balkon!,"119,45",3,01259 Dresden,False,"Plauenscher Ring 31,  01187  Dresden ",HoGe GmbH,035130936863,provisionsfrei,"Die WohnungWohnungslageDachgeschossBad mit Fenster, Wanne und Dusche, Gäste-WC Balkon, Garten, Terrasse, Gartenanteil Ausblick: Fernblick offene Küche barrierefrei Böden: Fliesenboden, Parkett Fenster: Kunststofffenster Weitere Räume: Kelleranteil Anschlüsse: Kabelanschluss Haustiere erlaubt WohnanlageBaujahr: 2022 Personenaufzug Stellplatz: Carport ",Dachgeschoss,,2022,Erdwärme,,,"LageNiedersedlitz ist ein südöstlich gelegener Stadtteil Dresdens und ist rund 15 Autominuten vom Stadtzentrum entfernt. Die unmittelbare Nähe zur Autobahn A17 (Anbindung A4) mit den Anschlussstellen Nickern und Heidenau macht Niedersedlitz zu einem hervorragend angebundenen Wohnumfeld. Zusätzlich besteht in der näheren Umgebung... Mehr anzeigen immowelt Lage-Check:infoTäglicher BedarfOkayangle_rightNahverkehrGutangle_rightAuf Karte ansehenmoving_truck Umzugskosten berechnen
","ObjektbeschreibungNach durchzuführender Sanierung soll in der Heidenauer Straße 29  im beliebten Dresdner Stadtteil Neidersedlitz ein modernes Wohngebäude mit dem Charme des alten Industriebaus entstehen. Das zu sanierende Gebäude wurde im Jahr 1904 als Lagerhaus der Firma F.W. Jäger errichtet. In den achtziger Jahren sind Umbauten... Mehr anzeigen Ausstattung- 12 Wohnungen mit 3 - 6 Zimmern- Wohnflächen von 119,45 m2 - 188,81 m2- 3 Maisonette-Wohnungen mit Gartennutzung- 4 Maisonette-Dachgeschoss-Wohnungen mit großem Balkon und Dachgarten- KfW Effizienzhausstandard 85 Erneuerbare Energien - Wärmepumpe (Erdwärme o.ä.)- 3-fach verglaste Fenster- jede... Mehr anzeigen Weitere InformationenStichworteZustand: Erstbezug, saniert",True,
5,23z565j,212300,https://www.immowelt.de/expose/23z565j,212300,"gut geschnittene Singlewohnung im schönen Löbtau,wir haben mit den Innenausbauarbeiten begonnen!","39,99",2,Burgkstraße 1001159 Dresden / Löbtau,False,"Wehlener Straße 31,  01279 Dresden ",basis d GmbH ,0175 2363639,provisionsfrei,Die WohnungWohnungslage2. GeschossBezug2023Terrasse WohnanlageBaujahr: 2022 Zustand: projektiert Personenaufzug 1 Stellplatz: Parkhaus ,2. Geschoss,,2022,FERN,A+,2023,"LageUnser Wohnhaus entsteht im Stadtteil Löbtau in sehr reizvoller Nachbarschaft zu lockerer Stadthausbebauung. Das Mehrfamilienhaus liegt in einer ruhigen Nebenstraße.Die Wege des täglichen Bedarfs sind in wenigen Minuten fußläufig zu erledigen. Biomarkt, Sparkasse und Hausarzt sind gleich um die Ecke. Kurze Wege zu den... Mehr anzeigen immowelt Lage-Check:infoTäglicher BedarfSuperangle_rightNahverkehrSuperangle_rightAuf Karte ansehenmoving_truck Umzugskosten berechnen
","ObjektbeschreibungBis Jahresende eine Wohnung kaufen und Grunderwerbssteuer sparen! Unser Wohnhaus entsteht in Dresden-Löbtau, Burgkstraße. Hier entstehen auf ca. 710 m² Grundstück insgesamt zwölf Eigentumswohnungen in KfW-55 Bauweise. Das Gebäude besticht durch seine gediegene Form im modernen Baustil mit klaren Linien und der nachhaltigen... Mehr anzeigen Ausstattung+ KfW-55 Gebäude+ Aufzug in alle Ebenen+ Garagen und Kellerabteile + Fahrradabstellraum+ liebevoll gestaltete Außenanlagen mit Sandkasten und Schaukel+ Fußbodenheizung in der gesamten Wohnung+ Wohnzimmer mit Massivholzdielen+ Schlaf- und Kinderzimmer mit Designbelag in Holzoptik+ großzügige... Mehr anzeigen Preisinformation1 Parkhausstellplatz, Kaufpreis: 20.000,00 EURWeitere InformationenSonstigesDiese Anzeige dient nur der ersten Information und stellt kein Vertragsangebot dar. Die Anzeige begründet keine vertraglichen Ansprüche. Der Inhalt und die Angaben wurden nach bestem Wissen und Gewissen ermittelt. Für Richtigkeit und Vollständigkeit wird keine Haftung übernommen. Die Grundrisse sind nicht zur... Mehr anzeigen ",True,
6,22h495q,234500,https://www.immowelt.de/expose/22h495q,234500,Neubau- kleine 2-Zimmer-Wohnung im Preußischen Viertel,36,2,01099 Dresden,False,"Comeniusstrasse 50,  01309 Dresden ", Max Wiessner Baugeschäft GmbH ,0351-427 99 30,provisionsfrei,"Die WohnungKategorieApartmentWohnungslage3. GeschossBezug2023Derzeitige NutzungfreiBad mit Dusche Balkon, Gartenmitbenutzung Ausblick: Fernblick Böden: Parkett Zustand: Erstbezug Anschlüsse: Kabelanschluss WohnanlageBaujahr: 2021 Zustand: Neubau Personenaufzug 1 Stellplatz: Tiefgarage Sicherheitstechnik: Überwachungskamera ",3. Geschoss,,2021,Wärmepumpe,A+,2023,"Lage- Preußisches Viertel- absulut ruhige und grüne Wohnlage- kleine Seitenstraße- kurze Wege bis in das Szeneviertel Dresden-Neustadt- Dresdner Heide in unmittelbarer Näheimmowelt Lage-Check:infoTäglicher BedarfOkayangle_rightNahverkehrSuperangle_rightAuf Karte ansehenmoving_truck Umzugskosten berechnen
","ObjektbeschreibungObjektbeschreibungAuf einem ca. 1.050 qm großen Grundstück errichtet die Max Wießner Baugeschäft GmbH ein Neubauvorhaben in gewohnt guter und zuverlässiger Qualität. Insgesamt werden 10 Eigentumswohungen entstehen, 8 im Vorderhaus und 2 im angrenzenden Gartenhaus. Der Baubeginn erfolgte im Dezember... Mehr anzeigen Weitere InformationenBesichtigungstermineGern stellen wir Ihnen das Projekt detailliert vor und beantworten Ihre Fragen.Telefon: 0351- 427 99 30E-Mail: loewe@maxwiessner.deMax Wießner Baugeschäft GmbHComeniusstraße 5001309 DresdenStichworteSonstiges: Neubaustandard",True,
7,2v5k34k,326680,https://www.immowelt.de/expose/2v5k34k,326680,"Tolle 3-Zi.-Wohnung mit Balkon! Neubau, Tiefgarage, Schöner Grundriss, Grünes Umfeld, Top-Preis!","81,67",3,Zum Hutbergblick01328 Dresden,False,"Schützengasse 13,  01067 Dresden ",Columbus Dresden GmbH,not available,provisionsfrei,"Die WohnungWohnungslage1. GeschossBezug06/2023Bad mit Dusche Balkon, Gartenmitbenutzung Böden: Fliesenboden, Parkett, Teppichboden Fenster: Holzfenster Zustand: Erstbezug kontrollierte Be- und Entlüftungsanlage Weitere Räume: Kelleranteil, Abstellraum Anschlüsse: Kabelanschluss WohnanlageBaujahr: 2022/2023 Zustand: Neubau 1 Stellplatz: Tiefgarage ",1. Geschoss,,2022,"Blockheizkraftwerk, Gas",,06/2023,"LageMit herrlichem Blick über das Schönfelder Hochland und dem nahe gelegenen Hutberg, der angrenzenden Dresdner Heide, dem reizvollen alten Dorfkern von Weißig, dem natürlichen Badeteich „Marienbad“, dem Hoftheater und gemütlichen Restaurants besitzt das Wohnquartier Weißig die Qualitäten eines Rückzugsortes... Mehr anzeigen immowelt Lage-Check:infoTäglicher BedarfOkayangle_rightNahverkehrGutangle_rightAuf Karte ansehenmoving_truck Umzugskosten berechnen
","Objektbeschreibunghelles Wohn-/Esszimmer, Südbalkon; Küche; Schlafzimmer; Kinderzimmer; Duschbad, Abstellraum mit WM-Anschluss, weiterer Abstellraum im KellerWeitere InformationenObjektbeschreibung - Überblick- charmante Lage im Schönfelder Hochland, sehr gute Infrastruktur- attraktive 3-Zimmer-Eigentumswohnung- helle, freundliche Wohnung mit Charme- Südbalkon- funktional und fortschrittlicher Grundriss- Eiche-Massivparkett und Schurwollteppich- ausgewählte, italienische... Mehr anzeigen ",True,
8,27ste5s,260000,https://www.immowelt.de/expose/27ste5s,260000,Wunderschöne Altbau-Eigentumswohnung (3 Zimmer) mit Balkon. Dresden/ Pieschen-Süd.,82,3,01127 Dresden,True,"Wilsdruffer Str. 20,  01067 Dresden ", KORREKT IMMOBILIEN GmbH & Co. KG ,0351 438 7 84 84 ,Die Maklercourtage beträgt netto 3,"Die WohnungWohnungslage1. GeschossDerzeitige NutzungvermietetBad mit Wanne Balkon Böden: Fliesenboden, Parkett Weitere Räume: Kelleranteil WohnanlageBaujahr: 1900 ",1. Geschoss,160,1900,Gas,,,"LageLagebeschreibungDie sächsische Landeshauptstadt Dresden liegt im südöstlichen Teil des Freistaates Sachsen, der außer an deutsches Territorium an tschechisches und polnisches grenzt. Die Anlage der Stadt ist geprägt von der Elbweitung. Die Ausläufer des Osterzgebirges, der Lausitzer Granitplatte und des... Mehr anzeigen immowelt Lage-Check:infoTäglicher BedarfGutangle_rightNahverkehrSuperangle_rightAuf Karte ansehenmoving_truck Umzugskosten berechnen
","ObjektbeschreibungObjektbeschreibungDiese komfortable Eigentumswohnung ist in einem denkmalgeschützten Mehrfamilien-Wohnhaus im 1. Obergeschoss gelegen. Das Wohnhaus wurde um 1900 in der für diese Zeit typischen Reihenbebauung in massiver Bauweise errichtet und beinhaltet insgesamt 8 Wohneinheiten. Es verfügt über 4 Vollgeschosse... Mehr anzeigen AusstattungDie Eigentumswohnung ist insgesamt ca. 82 m² groß und besticht mit ihrem Altbaucharme. So sind zum Teil originale Holztüren eingebaut, der wunderschöne Parkettfußboden ist sehr gepflegt und die hohen Räume sorgen für ein angenehmes Wohngefühl. Die Einheit verfügt über Flur, Badezimmer, WC, Schlafzimmer, Kinderzimmer... Mehr anzeigen Weitere InformationenSonstigesWICHTIGER HINWEIS:Eine Bearbeitung Ihrer Anfrage ist uns von unserem Auftraggeber (Verkaeufer) nur gestattet, wenn Sie uns mindestens folgende Kontaktdaten bekannt geben: - Name- Vorname- Anschrift- Telefonnummer und / oder E-Mail-AdresseDabei ist eine diskrete Behandlung Ihrer Kunden- und... Mehr anzeigen ",True,
9,27brl5n,75000,https://www.immowelt.de/expose/27brl5n,75000,"Kleine Kapitalanlage in beliebter Wohnlage - Dresden/Gruna. 3.312,- Euro JNM.","27,73",1,01277 Dresden,True,"Wilsdruffer Str. 20,  01067 Dresden ", KORREKT IMMOBILIEN GmbH & Co. KG ,0351 438 7 84 84 ,Die Maklercourtage beträgt netto 3 ,"Die WohnungWohnungslage2. GeschossDerzeitige NutzungvermietetBad mit Dusche Balkon Böden: Fliesenboden, Linoleum Fenster: Kunststofffenster Weitere Räume: Kelleranteil WohnanlageBaujahr: 1997 1 Stellplatz: Tiefgarage ",2. Geschoss,128,1997,Fernwärme,C,,"LageDie sächsische Landeshauptstadt Dresden liegt im südöstlichen Teil des Freistaates Sachsen. Die Anlage der Stadt ist geprägt von der Elbweitung. Die Ausläufer des Osterzgebirges, der Lausitzer Granitplatte und des Elbsandsteingebirges machen die reizvolle Umgebung aus. Dresden ist die Landeshauptstadt und zweit... Mehr anzeigen immowelt Lage-Check:infoTäglicher BedarfOkayangle_rightNahverkehrSuperangle_rightAuf Karte ansehenmoving_truck Umzugskosten berechnen
","ObjektbeschreibungObjektbeschreibungDiese kleine gemütliche Eigentumswohnung ist in einer modernen Wohnanlage, die im Jahr 1997 errichtet wurde, mit insgesamt 47 Wohneinheiten gelegen.Die Anlage teilt sich in Wohnhaus A, B und C. Die zum Verkauf stehende Wohnung ist im 2. Obergeschoss des Wohnhauses A gelegen, welches insgesamt 23... Mehr anzeigen AusstattungDie Eigentumswohnung ist insgesamt ca. 27,73 m² groß. Vom Flur mit etwa 2,96 m² Fläche gehen jeweils das Bad, das Wohn- und Schlafzimmer und die Küche ab. Der Grundriss ist zweckmäßig geschnitten. Das Badezimmer ist innenliegend und mit Dusche, Waschtisch und WC sowie Waschmaschnenanschluss ausgestattet. Es misst... Mehr anzeigen Weitere InformationenSonstigesWICHTIGER HINWEIS:Eine Bearbeitung Ihrer Anfrage ist uns von unserem Auftraggeber (Verkaeufer) nur gestattet, wenn Sie uns mindestens folgende Kontaktdaten bekannt geben: - Name- Vorname- Anschrift- Telefonnummer und / oder E-Mail-AdresseDabei ist eine diskrete Behandlung Ihrer Kunden- und... Mehr anzeigen ",True,
